name,primary_muscle_group,secondary_muscle_group,exercise_type,description,equipment
Жим штанги лежа,CHEST,TRICEPS,STRENGTH,"Базовое упражнение для грудных мышц. Лягте на горизонтальную скамью, снимите штангу со стоек, опустите к груди и мощно выжмите вверх.",BARBELL
Жим гантелей лежа,CHEST,TRICEPS,STRENGTH,"Жим лежа с гантелями обеспечивает большую амплитуду движения и лучше растягивает грудные мышцы.",DUMBBELL
Отжимания от пола,CHEST,TRICEPS,STRENGTH,"Классические отжимания. Примите упор лежа, согните руки в локтях, опуская тело к полу, затем вернитесь в исходное положение.",NONE
Разведение гантелей лежа,CHEST,SHOULDERS,STRENGTH,"Изолирующее упражнение для грудных мышц. Лежа на скамье, разводите гантели в стороны, чувствуя растяжение в груди.",DUMBBELL
Жим штанги на наклонной скамье,CHEST,TRICEPS,STRENGTH,"Жим штанги на скамье с положительным наклоном (30-45 градусов) для акцента на верхнюю часть грудных мышц.",BARBELL
Жим гантелей на наклонной скамье,CHEST,TRICEPS,STRENGTH,"Жим гантелей на наклонной скамье для развития верхней части грудных мышц.",DUMBBELL
Отжимания на брусьях,CHEST,TRICEPS,STRENGTH,"Отжимания на брусьях с наклоном корпуса вперед для акцента на грудные мышцы.",DIP_BAR
Сведение рук в кроссовере,CHEST,NONE,STRENGTH,"Изолирующее упражнение. Стоя между стойками кроссовера, сведите рукоятки перед собой.",CABLE
Пуловер с гантелью,CHEST,BACK,STRENGTH,"Растягивающее упражнение. Лежа на скамье, опускайте гантель за голову, растягивая грудные мышцы и широчайшие.",DUMBBELL
Жим в тренажере хаммер,CHEST,TRICEPS,STRENGTH,"Жим в тренажере хаммер для изолированной работы грудных мышц с фиксированной траекторией.",MACHINE
Жим в тренажере Смита,CHEST,TRICEPS,STRENGTH,"Жим штанги в тренажере Смита на горизонтальной скамье для безопасной работы.",MACHINE
Кроссовер через верхние блоки,CHEST,NONE,STRENGTH,"Стоя между стойками, сведите верхние блоки перед собой по диагонали.",CABLE
Отжимания с узкой постановкой рук,CHEST,TRICEPS,STRENGTH,"Отжимания с узкой постановкой рук для акцента на трицепс и внутреннюю часть грудных мышц.",NONE
Жим штанги головой вниз,CHEST,TRICEPS,STRENGTH,"Жим штанги на скамье с отрицательным наклоном для акцента на нижнюю часть грудных мышц.",BARBELL
Сведение рук в тренажере бабочка,CHEST,NONE,STRENGTH,"Сведение рук в тренажере пек-дек (бабочка) для изоляции грудных мышц.",MACHINE
Подтягивания широким хватом,BACK,BICEPS,STRENGTH,"Базовое упражнение для широчайших мышц спины. Возьмитесь за перекладину хватом шире плеч, подтянитесь до касания перекладины грудью.",PULL_UP_BAR
Тяга штанги в наклоне,BACK,BICEPS,STRENGTH,"Наклоните корпус вперед, возьмитесь за штангу хватом шире плеч, тяните штангу к поясу, сводя лопатки.",BARBELL
Тяга верхнего блока к груди,BACK,BICEPS,STRENGTH,"Аналог подтягиваний. Сидя в тренажере, тяните рукоять широким хватом к верхней части груди.",MACHINE
Тяга гантели в наклоне,BACK,BICEPS,STRENGTH,"С упором колена и руки на скамью, тяните гантель к поясу, сводя лопатку.",DUMBBELL
